S.No,Movie_Name,Movie_URL,Movie_IMDb_Rating,Movie_Year
1,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,9.3,1994
2,The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2,9.2,1972
3,The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3,9.1,2008
4,The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4,9,1974
5,12 Angry Men,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5,9,1957
6,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6,9,2003
7,Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7,9,1993
8,Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8,8.8,1994
9,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9,8.9,2001
10,"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10,8.8,1966
11,Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,8.8,1994
12,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12,8.8,2002
13,Fight Club,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13,8.8,1999
14,Inception,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14,8.8,2010
15,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15,8.7,1980
16,The Matrix,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16,8.7,1999
17,Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17,8.7,1990
18,Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_18,8.7,2014
19,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19,8.7,1975
20,Se7en,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20,8.6,1995
21,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21,8.6,1946
22,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22,8.6,1991
23,Seven Samurai,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23,8.6,1954
24,Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24,8.6,1998
25,The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_25,8.6,1999
26,City of God,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26,8.6,2002
27,Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27,8.6,1997
28,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28,8.6,1991
29,Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29,8.6,1977
30,Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30,8.5,1985
31,Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_31,8.6,2001
32,The Pianist,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_32,8.5,2002
33,Gladiator,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_33,8.5,2000
34,Parasite,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34,8.5,2019
35,Psycho,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35,8.5,1960
36,The Lion King,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_36,8.5,1994
37,Grave of the Fireflies,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_37,8.5,1988
38,The Departed,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_38,8.5,2006
39,Whiplash,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_39,8.5,2014
40,Harakiri,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_40,8.6,1962
